OrgID,Charity Name,Address ,City,State,Zip,Website URL,Cause,Total Expenses,Total Net Assets
15796,Together Omaha,812 South 24th Street ,Omaha,NE,68108,http://togetheromaha.org/,Homeless Services,"$3,117,532 ","$3,003,081 "
13021,Together We Cope,17010 South Oak Park Avenue ,Tinley Park,IL,60477,http://www.togetherwecope.com/,Social Services,"$3,303,086 ","$950,527 "
6926,Toledo Area Humane Society,827 Illinois Avenue ,Maumee,OH,43537,http://www.toledohumane.org/,"Animal Rights, Welfare, and Services","$2,485,111 ","$11,844,006 "
15266,Toledo Day Nursery,2211 Jefferson Avenue ,Toledo,OH,43604,http://toledodaynursery.org/,Children's and Family Services,"$1,063,858 ","$2,615,642 "
5916,"Toledo Northwestern Ohio Food Bank, Inc.",24 East Woodruff Avenue ,Toledo,OH,43604,http://www.toledofoodbank.org/,"Food Banks, Food Pantries, and Food Distribution","$14,367,707 ","$6,365,404 "
18613,Toledo Opera,425 Jefferson Avenue Suite 601,Toledo,OH,43604,https://www.toledoopera.org/,Performing Arts,"$1,426,071 ","$3,388,071 "
5228,Toledo Symphony,1838 Parkwood Avenue ,Toledo,OH,43604,http://www.toledosymphony.com/index.php?switch=0,Performing Arts,"$6,362,845 ","$19,296,635 "
12447,Tom Coughlin Jay Fund Foundation,P.O. Box 50798 ,Jacksonville Beach,FL,32240,http://tcjayfund.org,Patient and Family Support,"$2,473,184 ","$22,926,630 "
15451,Tomche Shabbos of Rockland County,78 College Road ,Monsey,NY,10952,https://www.tomcheshabbos.org/,Social Services,"$4,199,624 ","$2,430,997 "
11404,Tomorrows Children's Fund,30 Prospect Avenue ,Hackensack,NJ,7601,http://www.tcfkid.org/,Patient and Family Support,"$974,987 ","$2,159,293 "
5636,Tony La Russa's Animal Rescue Foundation,2890 Mitchell Drive ,Walnut Creek,CA,94598,http://www.arflife.org,"Animal Rights, Welfare, and Services","$8,256,123 ","$58,864,965 "
15652,Tony Stewart Foundation,438 Southpoint Circle ,Brownsburg,IN,46112,http://www.tonystewartfoundation.org/,Scholarship and Financial Support,"$628,058 ","$2,461,481 "
11032,Topeka Rescue Mission,600 North Kansas Avenue ,Topeka,KS,66608,https://www.trmonline.org/,Rescue Missions,"$5,275,785 ","$9,135,829 "
7760,Torah Schools for Israel,1607 45th Street ,Brooklyn,NY,11204,,Religious Activities,"$1,712,857 ","$414,302 "
7506,Tostan,718 7th Street NW 2nd Floor,Washington,DC,20001,http://www.tostan.org/,Development and Relief Services,"$7,600,845 ","$9,231,392 "
13173,Touch Foundation,48 Wall Street Floor 5,New York,NY,10005,http://www.touchfoundation.org/,Development and Relief Services,"$4,845,429 ","$5,838,764 "
10824,Touching Lives,1800 Satellite Boulevard ,Duluth,GA,30097,http://www.touchinglives.org,Religious Media and Broadcasting,"$2,458,677 ","$239,558 "
4570,Tourette Association of America,42-40 Bell Boulevard Suite 205,Bayside,NY,11361,http://tourette.org/,"Diseases, Disorders, and Disciplines","$5,093,628 ","$11,009,621 "
17342,Tower Cancer Research Foundation,8767 Wilshire Boulevard Suite 401,Beverly Hills,CA,90211,http://towercancer.org/,Medical Research,"$3,668,871 ","$806,756 "
14848,Town Hall,720 Seneca Street Suite A,Seattle,WA,98101,http://www.townhallseattle.org/,Performing Arts,"$3,182,516 ","$23,703,239 "
15041,Town of Palm Beach United Way,44 Cocoanut Row Suite M201,Palm Beach,FL,33480,http://www.palmbeachunitedway.org/,United Ways,"$4,463,701 ","$11,321,863 "
9753,Toxic-Free Future,"4649 Sunnyside Avenue, N Suite 540",Seattle,WA,98103,http://toxicfreefuture.org/,Environmental Protection and Conservation,"$1,465,339 ","$1,393,411 "
15283,TPAN,5537 N. Broadway ,Chicago,IL,60640,http://www.tpan.com/,"Diseases, Disorders, and Disciplines","$3,414,600 ","$1,642,948 "
11122,Tragedy Assistance Program for Survivors,3033 Wilson Boulevard Suite 300,Arlington,VA,22201,http://www.taps.org,Social Services,"$17,481,444 ","$6,200,574 "
