OrgID,Charity Name,Address ,City,State,Zip,Website URL,Category,Cause,Total Expenses,Total Net Assets
10152,United Way of Union County,648 Clymer Road Suite 313,Marysville,OH,43040,http://www.unitedwayofunioncounty.org,Community Development,United Ways,932163,891647
11239,United Way of Utah County,148 North 100 West P.O. Box 135,Provo,UT,84603,http://unitedwayuc.org,Community Development,United Ways,4191437,1688038
12407,United Way of Ventura County,4001 Mission Oaks Boulevard Suite E,Camarillo,CA,93012,http://www.vcunitedway.org,Community Development,United Ways,4142430,3317464
15372,United Way of Volusia-Flagler Counties,3747 West International Speedway Boulevard ,Daytona Beach,FL,32124,http://www.unitedwayvfc.org/,Community Development,United Ways,3494808,8753295
12685,"United Way of Warren County, Ohio",3989 South Route 42 ,Mason,OH,45036,http://www.warrencountyunitedway.org,Community Development,United Ways,2023194,139393
14822,United Way of Washington County East,1825 Curve Crest Boulevard ,Stillwater,MN,55082,http://www.uwwce.org/,Community Development,United Ways,1015310,404075
13805,United Way of Washington County Maryland,83 West Washington Street Suite 101,Hagerstown,MD,21740,http://www.unitedwaywashcounty.org/,Community Development,United Ways,846738,716989
13712,United Way of Washington County Tennessee,1907 North Roan Street Suite 409,Johnson City,TN,37601,http://unitedwayofwashingtoncountytn.org/,Community Development,United Ways,1290091,275350
18610,"United Way of Washington County, WI",215 North Main Street ,West Bend,WI,53095,https://www.unitedwayofwashingtoncounty.org/,Community Development,United Ways,1642105,734722
10058,United Way of Washtenaw County,2305 Platt Road ,Ann Arbor,MI,48104,http://www.uwwashtenaw.org/,Community Development,United Ways,6488460,6489088
14821,United Way of Wayne and Holmes Counties,215 South Walnut Street ,Wooster,OH,44691,http://www.uwwh.org/,Community Development,United Ways,1197294,2230709
14359,United Way of Weld County,814 Ninth Street ,Greeley,CO,80631,https://www.unitedway-weld.org/,Community Development,United Ways,3795510,3616299
13640,United Way of West Alabama,2720 Sixth Street ,Tuscaloosa,AL,35401,http://www.uwwa.org/,Community Development,United Ways,3955589,2471434
14877,United Way of West Central Connecticut,440 North Main Street Suite D,Bristol,CT,6010,http://www.uwwestcentralct.org/,Community Development,United Ways,803947,1007436
14878,United Way of West Central Mississippi,920 South Street ,Vicksburg,MS,39180,http://www.unitedwayvicksburg.org/,Community Development,United Ways,883280,1293867
12671,United Way of West Tennessee,470 North Parkway Suite B,Jackson,TN,38305,http://www.unitedway.tn.org,Community Development,United Ways,1698506,2129225
4952,United Way of Westchester and Putnam,336 Central Park Avenue ,White Plains,NY,10606,http://www.uwwp.org/,Community Development,United Ways,8874640,3275473
13331,United Way of Western Connecticut,301 Main Street Suite 2-5,Danbury,CT,6810,http://www.uwwesternct.org/,Community Development,United Ways,5606962,5133001
8389,United Way of Whatcom County,1500 Cornwall Avenue Suite 203,Bellingham,WA,98225,http://www.unitedwaywhatcom.org,Community Development,United Ways,1454974,2820790
15271,United Way of Will County,54 North Ottawa Street Suite 300,Joliet,IL,60432,http://www.uwwill.org,Community Development,United Ways,3229577,2678006
11454,"United Way of Williamson County, TN",209 Gothic Court Suite 107,Franklin,TN,37067,http://www.uwwc.org,Community Development,United Ways,5383319,6802021
18536,"United Way of Williamson County, TX",1111 North Interstate 35 Suite 220,Round Rock,TX,78664,https://www.unitedway-wc.org/,Community Development,United Ways,1225833,1129351
8951,United Way of Wyoming Valley,100 North Pennsylvania Avenue 2nd Floor,Wilkes-Barre,PA,18701,http://www.unitedwaywb.org/,Community Development,United Ways,5764371,17714195
