OrgID,charity_name,cause,category,address,City,state,zip,web_url,total_expenses,total_net_assets,class
12633,Reciprocal Ministries International,Development and Relief Services,International,5475 Lee Street Suite 301,Lehigh Acres,FL,33971,http://www.rmibridge.org,"$2,951,295","$1,334,410",2
8498,Reconciliation Outreach,Homeless Services,Human Services,1421 North Peak Street ,Dallas,TX,75204,http://www.rodallas.org/,"$838,129","$3,566,354",1
15672,Red Hook Initiative,"Youth Development, Shelter, and Crisis Services",Human Services,767 Hicks Street ,Brooklyn,NY,11231,http://rhicenter.org/,"$3,309,359","$1,997,537",0
14817,Red Mountain Theatre Company,Performing Arts,"Arts, Culture, Humanities",PO Box 278 ,Birmingham,AL,35201,http://www.redmountaintheatre.org/,"$3,816,747","$2,342,484",0
12106,REDF,Social Services,Human Services,Two Embareadero Center Suite 650,San Francisco,CA,94111,http://www.redf.org,"$13,242,578","$28,511,317",1
7707,RedRover,"Animal Rights, Welfare, and Services",Animals,1419 21st Street ,Sacramento,CA,95811,http://www.redrover.org/,"$3,496,662","$6,692,260",1
7983,Redwings Horse Sanctuary,Wildlife Conservation,Animals,47420 Lockwood-Jolon Road ,Lockwood,CA,93932,http://www.redwingshorses.org,"$1,202,246","$5,263,524",0
5415,Refugees International,"International Peace, Security, and Affairs",International,"1800 M Street, NW Suite 405N",Washington,DC,20036,http://www.refugeesinternational.org,"$3,734,376","$5,821,326",1
11784,Regional Parks Foundation,"Botanical Gardens, Parks, and Nature Centers",Environment,P.O. Box 21074 Crestmont Station,Oakland,CA,94620,http://www.regionalparksfoundation.org/,"$1,982,460","$6,877,827",0
7951,Regional Plan Association,Housing and Neighborhood Development,Community Development,One Whitehall Street 16th Floor,New York,NY,10004,http://www.rpa.org/,"$4,862,371","$4,750,705",1
10980,Regional YMCA of Western Connecticut,Multipurpose Human Service Organizations,Human Services,264 Federal Road Unit B21,Brookfield,CT,6804,http://www.regionalymca.org,"$7,206,287","$2,736,017",1
6305,Rehabilitation Center for Children and Adults,Treatment and Prevention Services,Health,300 Royal Palm Way ,Palm Beach,FL,33480,http://www.rcca.org,"$2,969,542","$19,912,643",0
15579,"Rehearsal for Life, Inc. (Urban Improv/Freelance)",Performing Arts,"Arts, Culture, Humanities",670 Centre Street Ste. 8,Jamaica Plain,MA,2130,https://rehearsalforlife.org/,"$1,509,945","$947,991",0
9039,Relevant Radio,Religious Media and Broadcasting,Religion,1496 Bellevue Street Suite 202,Green Bay,WI,54311,http://www.relevantradio.com,"$21,817,088","$66,331,306",1
10712,"Relief Nursery, Inc.",Children's and Family Services,Human Services,1720 West 25th Avenue ,Eugene,OR,97405,http://reliefnursery.org/,"$3,716,693","$7,832,754",0
4757,Religions for Peace,"International Peace, Security, and Affairs",International,777 United Nations Plaza 9th Floor,New York,NY,10017,http://www.religionsforpeace.org,"$2,791,828","$9,278,410",1
11939,Religious Community Services,Social Services,Human Services,"503 South Martin Luther King, Jr. Avenue ",Clearwater,FL,33756,http://www.rcspinellas.org/,"$9,945,598","$6,245,539",1
11389,Religious Freedom Coalition,Religious Activities,Religion,P.O.Box 77511 ,Washington,DC,20013,https://www.religiousfreedomcoalition.org/,"$1,347,166","$490,111",2
16651,Remember Nhu,"International Peace, Security, and Affairs",International,P.O. Box 27000 ,Akron,OH,44319,https://remembernhu.org/,"$3,597,478","$2,134,524",1
5298,Renewal Ministries,Religious Media and Broadcasting,Religion,P.O. Box 491 ,Ann Arbor,MI,48106,http://www.renewalministries.net,"$1,958,556","$2,280,231",1
16903,Reporters Committee for Freedom of the Press,Advocacy and Education,Human and Civil Rights,1156 15th Street NW Suite 1250,Washington,DC,20005,http://www.rcfp.org/,"$2,811,058","$13,619,357",2
9498,Rescue Ministries of Mid-Michigan,Rescue Missions,Human Services,1021 Burt Street ,Saginaw,MI,48607,https://r3monline.org/,"$5,869,343","$4,354,267",0
9316,Rescue Mission Alliance,Rescue Missions,Human Services,315 North A Street ,Oxnard,CA,93030,http://www.erescuemission.org/,"$25,634,101","$16,876,010",0
9249,Rescue Mission of El Paso,Rescue Missions,Human Services,221 North Lee Street ,El Paso,TX,79901,https://rmelp.org/,"$1,805,792","$12,937,250",0
15371,Rescue Mission of Middle Georgia,Rescue Missions,Human Services,6601 Zebulon Road ,Macon,GA,31220,http://www.rescuemissionga.com,"$2,750,399","$6,837,651",0
9848,Rescue Mission of Trenton,Rescue Missions,Human Services,98 Carroll Street ,Trenton,NJ,8609,http://www.rescuemissionoftrenton.org/,"$6,720,430","$8,498,442",0
6770,"Rescue Mission, Syracuse",Rescue Missions,Human Services,155 Gifford Street ,Syracuse,NY,13202,http://www.rescuemissionalliance.org,"$21,974,117","$17,237,340",0
7674,Rescue Village,"Animal Rights, Welfare, and Services",Animals,15463 Chillicothe Road ,Russell Township,OH,44072,https://www.rescuevillage.org/,"$2,756,490","$6,874,628",1
17018,Research for Action,Education Policy and Reform,Education,100 South Broad Street Suite 700,Philadelphia,PA,19110,https://www.researchforaction.org/,"$5,061,697","$2,126,612",2
14759,Research!America,Social and Public Policy Research,Research and Public Policy,241 18th Street South Suite 501,Arlington,VA,22202,http://www.researchamerica.org/,"$3,734,479","$2,023,967",0
