OrgID,Charity Name,Address ,City,State,Zip,Website URL,Category,Cause,Total Revenue,Total Expenses,Fundraising Expenses,CEO Salary,Total Net Assets
9843,Ronald McDonald House Charities of Eastern Iowa and Western Illinois,730 Hawkins Drive ,Iowa City,IA,52246,http://rmhc-eiwi.org/,Health,Patient and Family Support,"$1,402,387","$1,839,141","$261,442","$95,869","$5,214,355"
12661,Ronald McDonald House Charities of Eastern Wisconsin,8948 Watertown Plank Road ,Milwaukee,WI,53226,http://rmhc-easternwi.org,Health,Patient and Family Support,"$5,434,222","$3,438,292","$299,920","$153,162","$29,591,958"
8489,Ronald McDonald House Charities of Greater Chattanooga,200 Central Avenue ,Chattanooga,TN,37403,http://www.rmhchattanooga.com/,Health,Patient and Family Support,"$2,022,350","$1,994,918","$310,835","$120,000","$7,014,545"
6895,Ronald McDonald House Charities of Greater Cincinnati,341 Erkenbrecher Avenue ,Cincinnati,OH,45229,http://www.rmhcincinnati.org/,Health,Patient and Family Support,"$28,953,892","$5,212,518","$918,214","$219,254","$79,582,490"
13413,Ronald McDonald House Charities of Greater Las Vegas,2323 Potosi Street ,Las Vegas,NV,89146,http://www.rmhlv.com/,Health,Patient and Family Support,"$1,921,951","$2,021,805","$203,740","$99,333","$5,019,351"
16470,"Ronald McDonald House Charities of Greater Washington, DC","3727 14th Street, NE ",Washington,DC,20017,http://www.rmhcdc.org/,Health,Patient and Family Support,"$2,861,256","$3,533,970","$526,201","$189,225","$20,590,132"
9819,Ronald McDonald House Charities of Hawaii,1970 Judd Hillside Road ,Honolulu,HI,96822,http://www.ronaldhousehawaii.org,Health,Patient and Family Support,"$2,675,562","$1,732,196","$292,664","$118,566","$13,771,381"
18273,Ronald McDonald House Charities of Idaho,101 Warm Springs Avenue ,Boise,ID,83712,https://www.rmhcidaho.org/,Health,Patient and Family Support,"$7,973,531","$933,733","$121,360","$99,995","$13,956,712"
9621,Ronald McDonald House Charities of Jacksonville,824 Children's Way ,Jacksonville,FL,32207,http://rmhcjacksonville.org/,Health,Patient and Family Support,"$2,582,641","$3,059,892","$434,692","$157,660","$22,365,333"
9525,Ronald McDonald House Charities of Kansas City,2502 Cherry Street ,Kansas City,MO,64108,http://www.rmhckc.org/,Health,Patient and Family Support,"$5,532,786","$5,060,494","$754,007","$160,281","$23,540,332"
9016,Ronald McDonald House Charities of Kentuckiana,550 South First Street ,Louisville,KY,40202,https://rmhc-kentuckiana.org/,Health,Patient and Family Support,"$15,114,408","$1,649,423","$340,768","$125,548","$23,559,515"
